Date,Open,High,Low,Close,Adj Close,Volume
9/03/2023,12230.83984,12340.4502,11970.33984,11995.87988,11995.87988,5061790000
10/03/2023,12001.7002,12069.62012,11789.86035,11830.28027,11830.28027,6193500000
13/03/2023,11752.09961,12073.95996,11695.41016,11923.16992,11923.16992,6201490000
14/03/2023,12078.45996,12217.87012,12035.21973,12199.79004,12199.79004,5533120000
15/03/2023,12083.24023,12269.4502,12026.17969,12251.32031,12251.32031,5912430000
16/03/2023,12211.87012,12595.69043,12190.65039,12581.38965,12581.38965,5498920000
17/03/2023,12570.16016,12674.33984,12444.08008,12519.87988,12519.87988,7903090000
20/03/2023,12487.79004,12578.34961,12407.82031,12562.61035,12562.61035,4970630000
21/03/2023,12643.34961,12762.4502,12582.75977,12741.44043,12741.44043,4829870000
22/03/2023,12742.41016,12943.62012,12563.78027,12567.15039,12567.15039,4981590000
23/03/2023,12735.59961,12900.09961,12611.66992,12729.23047,12729.23047,4917460000
24/03/2023,12700.50977,12770.28027,12608.15039,12767.04981,12767.04981,4363650000
27/03/2023,12797.90039,12839.41992,12647.94043,12673.07031,12673.07031,4330320000
28/03/2023,12654.91016,12654.91016,12517.87012,12610.57031,12610.57031,4036910000
29/03/2023,12768.13965,12867.32031,12734.67969,12846.03027,12846.03027,4493540000
30/03/2023,12934.99023,12987.96973,12894.13965,12963.13965,12963.13965,4738880000
31/03/2023,12968.95996,13188.83008,12968,13181.34961,13181.34961,5521150000
3/04/2023,13084.09961,13157.46973,13036.54981,13148.34961,13148.34961,4816440000
4/04/2023,13165.32031,13204.08008,13049.98047,13100.08008,13100.08008,4298760000
5/04/2023,13056.79004,13065.28027,12894.44043,12967.2002,12967.2002,4378590000
6/04/2023,12892.90039,13078.09961,12846.03027,13062.59961,13062.59961,3862800000
10/04/2023,12936.51953,13051.84961,12861.51953,13051.23047,13051.23047,4334070000
11/04/2023,13040.49023,13049.55957,12947.66016,12964.15039,12964.15039,4676960000
12/04/2023,13043.96973,13071.98047,12833.30957,12848.34961,12848.34961,4909770000
13/04/2023,12922.90039,13124.41016,12920.01953,13109.38965,13109.38965,4942990000
14/04/2023,13044.69043,13152.28027,12962.50977,13079.51953,13079.51953,4655740000
17/04/2023,13053.25977,13105.67969,12981.25977,13087.70996,13087.70996,4823180000
18/04/2023,13180.30957,13196.17969,13044.20996,13091.79004,13091.79004,4851810000
19/04/2023,12992.50977,13128.25,12988.2002,13088.70996,13088.70996,4972700000
20/04/2023,12962.29004,13107.91992,12933.79981,12985.98047,12985.98047,4590530000
21/04/2023,12970.32031,13030.84961,12899.63965,13000.76953,13000.76953,4868050000
24/04/2023,12981.70996,13044.21973,12883.76953,12969.75977,12969.75977,4854050000
25/04/2023,12905.08984,12933.28027,12724.24023,12725.11035,12725.11035,4806020000
26/04/2023,12866.63965,12929.62012,12783.41992,12806.48047,12806.48047,5281970000
27/04/2023,12963.20996,13175.62012,12938.5,13160.03027,13160.03027,5253710000
28/04/2023,13139.34961,13247.38965,13096.94043,13245.99023,13245.99023,5331380000
1/05/2023,13229.11035,13287.46973,13186.40039,13231.46973,13231.46973,5168430000
2/05/2023,13225.48047,13241.53027,13046.79004,13113.66016,13113.66016,5501410000
3/05/2023,13123.09961,13231.70996,13026.04004,13030.20996,13030.20996,5782160000
4/05/2023,13014.07031,13064.01953,12938.4502,12982.48047,12982.48047,4745780000
5/05/2023,13070.7002,13291.11035,13059.91016,13259.12988,13259.12988,4574790000
8/05/2023,13247.08984,13302.42969,13193.08008,13291.63965,13291.63965,4216360000
9/05/2023,13228.63965,13254.80957,13193.87988,13201.11035,13201.11035,4126780000
10/05/2023,13308.41016,13384.41992,13204.79004,13347.83008,13347.83008,4948260000
11/05/2023,13376.84961,13411.7002,13306.08008,13389.78027,13389.78027,4489490000
12/05/2023,13407.01953,13427.41992,13256.55957,13340.17969,13340.17969,4170000000
15/05/2023,13352.25977,13419.80957,13297.84961,13413.50977,13413.50977,3979290000
16/05/2023,13385.37012,13498.44043,13384.76953,13426.00977,13426.00977,4067510000
17/05/2023,13474.51953,13608.33008,13419.34961,13589.25977,13589.25977,4501820000
18/05/2023,13608.9502,13844.75977,13606.80957,13834.62012,13834.62012,4532890000
19/05/2023,13842.69043,13874.41992,13763.90039,13803.49023,13803.49023,3935780000
22/05/2023,13805.33008,13893.70996,13792.96973,13849.74023,13849.74023,4278920000
23/05/2023,13773.67969,13827.09961,13662.91016,13672.54004,13672.54004,4347440000
24/05/2023,13589.01953,13655.73047,13520.91992,13604.48047,13604.48047,4088270000
25/05/2023,13920.88965,13986.87012,13812.17969,13938.53027,13938.53027,4651640000
26/05/2023,13990.54981,14329.49023,13982.16016,14298.41016,14298.41016,4434070000
30/05/2023,14465.58984,14520.16992,14301.08008,14354.99023,14354.99023,4843470000
31/05/2023,14293.55957,14375.37988,14216.16016,14254.08984,14254.08984,5905760000
1/06/2023,14269.08984,14493.30957,14219.94043,14441.50977,14441.50977,4610310000
2/06/2023,14517.08008,14595.80957,14442.15039,14546.63965,14546.63965,4426760000
5/06/2023,14550.12988,14662.9502,14516.87988,14556.5,14556.5,4344280000
6/06/2023,14526.09961,14593.5,14476.99023,14558.08984,14558.08984,4810910000
7/06/2023,14573.26953,14647.91016,14283.87988,14303.29004,14303.29004,5270600000
8/06/2023,14319.24023,14503.30957,14314.69043,14484.54004,14484.54004,4280160000
9/06/2023,14574.24023,14672.84961,14487.48047,14528.36035,14528.36035,4412710000
12/06/2023,14617.34961,14789.59961,14571.36035,14784.29981,14784.29981,4722680000
13/06/2023,14911.25977,14931.83008,14770.13965,14900.84961,14900.84961,5522100000
14/06/2023,14894.09961,15017.09961,14784.62012,15005.69043,15005.69043,5772550000
15/06/2023,14949.7002,15246.62012,14930.12012,15185.48047,15185.48047,5667520000
16/06/2023,15272.65039,15284.65039,15073.4502,15083.91992,15083.91992,8076530000
20/06/2023,15036.48047,15127.41992,14946.71973,15070.15039,15070.15039,5237710000
21/06/2023,15019.00977,15038.90039,14826.01953,14867.4502,14867.4502,5194640000
22/06/2023,14797.88965,15044.21973,14794.9502,15042.32031,15042.32031,4499550000
23/06/2023,14879.23047,14983.73047,14821.80957,14891.48047,14891.48047,7734500000
26/06/2023,14866.66016,14982.82031,14687.01953,14689.01953,14689.01953,4430600000
27/06/2023,14751.57031,14972.30957,14726.75,14945.91016,14945.91016,5053660000
28/06/2023,14876.25,15051.08008,14865.80957,14964.57031,14964.57031,4533270000
29/06/2023,14965.54981,14986.88965,14876.94043,14939.9502,14939.9502,4388140000
30/06/2023,15085.24023,15213.75,15081.57031,15179.20996,15179.20996,4661120000
3/07/2023,15190.54004,15232.95996,15153.59961,15208.69043,15208.69043,2902300000
5/07/2023,15165.36035,15275.17969,15162.66016,15203.78027,15203.78027,5339340000
6/07/2023,15054.09961,15106.4502,14969.13965,15089.4502,15089.4502,6113080000
7/07/2023,15070.5,15210.62988,15032.55957,15036.84961,15036.84961,5098120000
10/07/2023,15031.9502,15066.44043,14924.63965,15045.63965,15045.63965,5275390000
11/07/2023,15068.12988,15135.29004,14974.16016,15119.05957,15119.05957,4840950000
12/07/2023,15279.34961,15364.08984,15209.70996,15307.23047,15307.23047,5230620000
13/07/2023,15432.48047,15602.74023,15420.70996,15571.98047,15571.98047,5183560000
14/07/2023,15610,15720.05957,15531,15565.59961,15565.59961,5366890000
17/07/2023,15608.28027,15745.66992,15576.50977,15713.28027,15713.28027,4593160000
18/07/2023,15671.71973,15895.67969,15607.70996,15841.34961,15841.34961,4824070000
19/07/2023,15888.16016,15932.04981,15781.95996,15826.34961,15826.34961,5112420000
19/07/2023,15888.16016,15932.04981,15781.95996,15826.34961,15826.34961,5112420000
20/07/2023,15717.66992,15771.83984,15429.87012,15466.08984,15466.08984,5128020000
21/07/2023,15554.9502,15600.54004,15410.57031,15425.66992,15425.66992,5254180000
24/07/2023,15475.15039,15504.66992,15374.66016,15448.01953,15448.01953,4083070000
25/07/2023,15483.05957,15622.69043,15482.04004,15561.41992,15561.41992,3812470000
26/07/2023,15514.04004,15571.16016,15411.91016,15499.25977,15499.25977,4322000000
27/07/2023,15734.03027,15795.50977,15416.04981,15464.92969,15464.92969,5115840000
28/07/2023,15630.16992,15788.48047,15617.75,15750.92969,15750.92969,4453520000
31/07/2023,15774.29981,15803.54981,15702.74023,15757,15757,4934440000
1/08/2023,15696.98047,15748.42969,15636.57031,15718.00977,15718.00977,4633770000
2/08/2023,15561.15039,15561.36035,15321.44043,15370.74023,15370.74023,5481960000
3/08/2023,15287.76953,15436.58984,15270.71973,15353.54004,15353.54004,6036970000
4/08/2023,15420.74023,15523.30957,15258.69043,15274.91992,15274.91992,5349450000
7/08/2023,15355.62012,15410.84961,15258.91992,15407.84961,15407.84961,4892330000
8/08/2023,15279.41016,15295.79981,15148.25,15273.04981,15273.04981,5284550000
9/08/2023,15286.99023,15288.75977,15077.91016,15101.70996,15101.70996,5591360000
10/08/2023,15217.29004,15366.29004,15072.49023,15128.83984,15128.83984,5299080000
11/08/2023,15010.51953,15102.53027,14973.66992,15028.07031,15028.07031,4638880000
14/08/2023,14988.41992,15206.25977,14972.00977,15205.58984,15205.58984,4272020000
15/08/2023,15172.08008,15192.87988,15014.36035,15037.65039,15037.65039,4473320000
16/08/2023,15021.62988,15077.04981,14874.01953,14876.46973,14876.46973,6243760000
17/08/2023,14943.33984,14949.58008,14698.29004,14715.80957,14715.80957,5280180000
18/08/2023,14589.70996,14744.57031,14557.83008,14694.83984,14694.83984,4801910000
21/08/2023,14762.00977,14958.87012,14739.37012,14936.69043,14936.69043,4363070000
22/08/2023,15035.07031,15037.79004,14883.98047,14908.95996,14908.95996,4282430000
23/08/2023,14947.58008,15188.86035,14947.58008,15148.05957,15148.05957,4127850000
24/08/2023,15278.92969,15279.24023,14814.83008,14816.44043,14816.44043,4383820000
