loss,"[1.0982426404953003, 1.098230004310608, 1.098247766494751, 1.0982369184494019, 1.0982012748718262, 1.098197340965271, 1.0981824398040771, 1.0981730222702026, 1.098174810409546, 1.0981742143630981, 1.098147988319397]"
accuracy,"[0.3523809611797333, 0.3523809611797333, 0.3523809611797333, 0.3523809611797333, 0.3523809611797333, 0.3523809611797333, 0.3523809611797333, 0.3523809611797333, 0.3523809611797333, 0.3523809611797333, 0.3523809611797333]"
val_loss,"[1.0986357927322388, 1.0986710786819458, 1.0986647605895996, 1.0986584424972534, 1.0986799001693726, 1.098690152168274, 1.0986777544021606, 1.0986799001693726, 1.0986911058425903, 1.098689079284668, 1.0987038612365723]"
val_accuracy,"[0.3636363744735718, 0.3636363744735718, 0.3636363744735718, 0.3636363744735718, 0.3636363744735718, 0.3636363744735718, 0.3636363744735718, 0.3636363744735718, 0.3636363744735718, 0.3636363744735718, 0.3636363744735718]"
