property,price,bedrooms,bathrooms,parking
House,475000,3,1,2
House,475000,3,1,4
House,475000,3,1,2
House,479000,3,1,2
House,480000,3,1,2
House,480000,3,1,2
House,480000,3,2,2
House,480000,3,1,1
House,480000,3,2,3
House,485000,3,2,4
House,485000,3,1,2
House,485000,3,1,4
House,485000,3,2,2
House,485000,3,2,2
House,485000,3,2,2
House,489000,3,2,2
House,489000,3,2,2
House,490000,3,1,2
House,495000,3,1,2
House,498000,3,2,5
House,499000,3,2,2
House,499000,3,1,0
House,515000,3,2,3
House,515000,3,1,2
House,515000,3,2,2
House,520000,3,2,2
House,520000,3,2,0
House,539000,3,1,2
House,540000,3,1,5
House,545000,3,2,2
House,548000,3,1,4
House,549000,3,2,2
House,555000,3,2,4
House,560000,3,2,2
House,560000,3,2,2
House,569000,3,2,4
House,570000,3,2,2
House,575000,3,2,4
House,575000,3,2,2
House,575000,3,2,2
House,580000,3,2,2
House,589500,3,2,2
House,590000,3,2,0
House,599000,3,1,2
House,599000,3,2,2
House,600000,3,2,2
House,615000,3,1,2
House,625000,3,1,4
House,629000,3,1,4
House,630000,3,1,4
House,639000,3,2,1
House,639000,3,1,3
House,649000,3,3,2
House,685000,3,1,10
House,775000,3,2,2
House,775000,3,2,2
House,780000,3,2,0
House,850000,3,1,2
House,860000,3,2,2
House,899000,3,2,4
House,1200000,3,2,2
Apartment,375000,3,1,2
Apartment,410000,3,1,1
Apartment,420000,3,2,2
Apartment,429000,3,2,2
Apartment,439000,3,2,2
Apartment,439000,3,2,2
Apartment,439000,3,2,2
Apartment,440000,3,2,2
Apartment,480000,3,2,2
Apartment,510000,3,2,2
Apartment,510000,3,2,2
Apartment,549000,3,2,2
Apartment,549000,3,2,2
Apartment,795000,3,3,4
Apartment,795000,3,3,4
Apartment,820000,3,2,2
Apartment,820000,3,2,2
Apartment,1199000,3,2,2
Apartment,1300000,3,2,2
Apartment,1300000,3,2,2
Apartment,649000,4,2,2
Apartment,649000,4,2,2
House,399000,4,1,4
House,449000,4,1,6
House,449000,4,1,4
House,450000,4,2,2
House,475000,4,2,4
House,485000,4,2,3
House,495000,4,2,2
House,515000,4,2,2
House,520000,4,2,2
House,525000,4,2,2
House,529000,4,2,3
House,540000,4,2,2
House,549000,4,2,4
House,550000,4,1,3
House,550000,4,2,5
House,559000,4,2,2
House,569000,4,2,2
House,570000,4,2,2
House,570000,4,2,4
House,575000,4,2,4
House,579000,4,2,2
House,580000,4,2,0
House,580000,4,2,2
House,590000,4,2,2
House,592000,4,2,2
House,595000,4,2,2
House,595000,4,2,2
House,595000,4,2,2
House,599000,4,2,2
House,599000,4,2,2
House,599000,4,2,2
House,599000,4,2,6
House,600000,4,2,2
House,600000,4,2,3
House,601000,4,2,2
House,610000,4,2,4
House,612300,4,2,2
House,614000,4,2,2
House,615000,4,2,2
House,615000,4,2,2
House,620000,4,2,2
House,620000,4,2,2
House,649000,4,2,2
House,655000,4,2,2
House,660000,4,2,2
House,665000,4,2,2
House,675000,4,2,2
House,675000,4,3,2
House,675000,4,2,3
House,695000,4,2,2
House,695000,4,2,4
House,720000,4,2,2
House,739000,4,2,2
House,739000,4,2,2
House,740000,4,2,3
House,789000,4,2,6
House,795000,4,2,2
House,819000,4,2,2
House,880000,4,2,2
House,950000,4,2,7
House,1050000,4,2,4
House,1490000,4,3,4
House,1650000,4,4,10
House,1800000,4,3,3
Apartment,610000,4,2,1
Apartment,1950000,5,3,2
House,489000,5,3,2
House,550000,5,2,2
House,550000,5,2,5
House,560000,5,2,4
House,620000,5,3,2
House,625000,5,2,4
House,649000,5,2,2
House,660000,5,2,4
House,750000,5,2,2
House,779000,5,3,3
House,899000,5,2,3
House,1100000,5,3,6
House,650000,6,3,3
House,849000,6,4,6
House,1200000,6,5,6
